JP,EN,trial,ratio,n_ok
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P84,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P85,2021/07/08,0,0,0
P86,2021/07/08,0,0,0
P86,2021/07/08,0,0,0
P86,2021/07/08,0,0,0
P87,2021/07/08,0,0,0
P87,2021/07/08,0,0,0
P87,2021/07/08,0,0,0
P87,2021/07/08,0,0,0
P88,2021/07/08,0,0,0
P88,2021/07/08,0,0,0
P88,2021/07/08,0,0,0
P88,2021/07/08,0,0,0
P88,2021/07/08,0,0,0
P89,2021/07/08,0,0,0
P89,2021/07/08,0,0,0
P89,2021/07/08,0,0,0
P89,2021/07/08,0,0,0
P89,2021/07/08,0,0,0
P90,2021/07/08,0,0,0
P90,2021/07/08,0,0,0
P90,2021/07/08,0,0,0
P90,2021/07/08,0,0,0
P90,2021/07/08,0,0,0
P91,2021/07/08,0,0,0
P91,2021/07/08,0,0,0
P91,2021/07/08,0,0,0
P91,2021/07/08,0,0,0
P91,2021/07/08,0,0,0
P92,2021/07/08,0,0,0
P92,2021/07/08,0,0,0
P92,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P93,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P94,2021/07/08,0,0,0
P95,2021/07/08,0,0,0
P95,2021/07/08,0,0,0
P95,2021/07/08,0,0,0
P95,2021/07/08,0,0,0
P95,2021/07/08,0,0,0
P95,2021/07/08,0,0,0
P96,2021/07/08,0,0,0
P96,2021/07/08,0,0,0
P96,2021/07/08,0,0,0
P96,2021/07/08,0,0,0
P97,2021/07/08,0,0,0
P97,2021/07/08,0,0,0
P97,2021/07/08,0,0,0
P97,2021/07/08,0,0,0
P98,2021/07/08,0,0,0
P99,2021/07/08,0,0,0
P99,2021/07/08,0,0,0
P99,2021/07/08,0,0,0
P99,2021/07/08,0,0,0
P100,2021/07/16,0,0,0
P100,2021/07/16,0,0,0
P100,2021/07/16,0,0,0
P101,2021/07/16,0,0,0
P101,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P102,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P103,2021/07/16,0,0,0
P105,2021/07/16,0,0,0
P105,2021/07/16,0,0,0
P105,2021/07/16,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P106,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
P107,2021/07/17,0,0,0
